code,name,id,Country,Province,District,longitude,latitude,district_populations,new_boreholes,mother_support_groups,community_gardens
kasama_army,Army Clinic,RzLkbnx9fyD,Zambia,Northern,Kasama,31.18373,-10.20515,306462,0,37,0
bruneli,Bruneli Health Post,EbzBDFuHPvM,Zambia,Central,Kabwe,28.632452,-14.367,234055,2,12,0
bulambo,Bulambo Health Post,fmWhauKbHg2,Zambia,Northern,Luwingu,30.08908,-10.96715,179554,0,6,
bulangililo,Bulangililo Urban Health Centre,SIES0o5kucs,Zambia,Copperbelt,Kitwe,28.24639,-12.77889,738320,0,1020,0
bulungu,Bulungu/Mumbwa Health Centre,VRSnCaCXNxW,Zambia,Central,Mumbwa,27.06496,-14.98257,242480,0,304,14
buntungwa,Buntungwa Urban Health Centre,jC3fHhoSEuZ,Zambia,Luapula,Mansa,28.88073,-11.22584,253414,,161,
bwacha,Bwacha Urban Health Centre,frjoZHqGJ9e,Zambia,Central,Kabwe,28.44066,-14.40797,234055,,184,
mansa_central,Central Urban Health Centre,k43pfm7F9YJ,Zambia,Luapula,Mansa,28.94957,-10.94079,253414,,127,
chabilikila,Chabilikila Rural Health Centre,cLEnAtHGNM9,Zambia,Luapula,Nchelenge,28.70611,-9.54308,203432,0,48,74
chalele,Chalele Health Facility,gdXqK7FzYoK,Zambia,Northern,Mbala,31.37906,-9.2657,268774,0,6,0
chamakubi,Chamakubi Health Post,NlioxYWW3jw,Zambia,Central,Chibombo,27.64188,-14.79945,250702,0,171,3
chamboli_grz,Chamboli GRZ Urban Health Centre,giDenvOQN3q,Zambia,Copperbelt,Kitwe,28.22756,-12.85737,738320,0,460,
chambulumina,Chambulumina Health Post,UZuGfInhPnn,Zambia,Central,Kapiri-Mposhi,28.87544,-13.94501,301722,0,64,
chandamukulu,Chandamukulu Rural Health Centre,aaSlxWUsCC7,Zambia,Northern,Kasama,31.126944,-10.82,306462,1,7,
changila,Changila Health Post,zYlAtN4br2P,Zambia,Luapula,Mansa,28.82703,-11.4069,253414,0,50,3
chankalamu,Chankalamu Health Post,SFjORf1oNL9,Zambia,Central,Kabwe,28.446314,-14.541684,234055,3,1,
chankomo,Chankomo Rural Health Centre,Uq7cPxwf4aU,Zambia,Central,Kapiri-Mposhi,29.02656,-13.90563,301722,1,122,
chansa,Chansa Health Post,gSwlvYX7dET,Zambia,Luapula,Mansa,28.51426,-11.22514,253414,0,21,
chapusha,Chapusha Health Post,AUoIbvcHJ1k,Zambia,Central,Kapiri-Mposhi,28.18039,-14.0537,301722,0,40,
chavuma,Chavuma Urban Health Centre,dHwacIJzdx7,Zambia,Copperbelt,Kitwe,28.21249,-12.81923,738320,0,89,
chawama,Chawama Urban Health Centre,GIGytyFn1Cb,Zambia,Central,Kapiri-Mposhi,28.70192,-13.9188,301722,0,43,11
chengo,Chengo Mini Hospital,V9zgPDt7Ugz,Zambia,Luapula,Mansa,28.86888,-10.88267,253414,0,,
chibombo_rural,Chibombo Rural Health Centre,DUhOYgrc8D1,Zambia,Central,Chibombo,28.07587,-14.66324,250702,0,190,20
chibwe,Chibwe Rural Health Centre,MbBDyU7FFwI,Zambia,Central,Kapiri-Mposhi,28.56005,-14.29404,301722,0,172,7
chikobo,Chikobo Rural Health Centre,EROMD7wMeRT,Zambia,Central,Chibombo,28.26396,-15.26734,250702,0,151,10
chikonshi,Chikonshi Health Post,gOZsUGYiLnQ,Zambia,Luapula,Mansa,28.84359,-11.32143,253414,0,45,
chikoyi,Chikoyi Peri-Urban Clinic,rDji34XUjbp,Zambia,Northern,Luwingu,29.92592,-10.2661,179554,0,63,36
chikunyu,Chikunyu Health Post,o6vLdwvIKJg,Zambia,Luapula,Samfya,29.65946,-11.47059,209209,0,4,
chilila,Chilila Health Post,EEkewtcGkC3,Zambia,Luapula,Mansa,28.89062,-11.19517,253414,0,,
chililalila,Chililalila Health Post,AsdiAEQp0Yh,Zambia,Central,Kabwe,28.354945,-14.443485,234055,0,10,
chilobwe,Chilobwe Rural Health Centre,QcrTGklFpmX,Zambia,Copperbelt,Kitwe,28.26227,-12.88038,738320,0,191,16
chilochabalenje,Chilochabalenje Health Post,ByAUc4xM2nw,Zambia,Central,Chibombo,27.9222,-15.13785,250702,0,56,
chilonga,Chilonga Health Post,IfD6aJcKuLJ,Zambia,Luapula,Nchelenge,28.795275,-9.365913,203432,0,14,0
chilongoshi,Chilongoshi Rural Health Centre,t7RhA3tCox5,Zambia,Northern,Kasama,30.80104,-9.98474,306462,0,29,22
chilubula_hac,Chilubula HAC Health Centre,xipBhsEmPQz,Zambia,Northern,Kasama,30.88924,-10.08672,306462,0,1,
chilumba,Chilumba Rural Health Centre,VLrKTLjezX2,Zambia,Central,Kapiri-Mposhi,28.10348,-14.11259,301722,0,152,
chimembe,Chimembe Rural Health Centre,vO6WSdHBdWs,Zambia,Luapula,Samfya,29.73291,-11.4678,209209,0,5,15
chimfula,Chimfula Health Post,ETFMpTvaQPC,Zambia,Luapula,Mansa,28.95182,-11.14434,253414,0,36,9
chiminwa,Chiminwa Health Post,WFxPImAdj7u,Zambia,Copperbelt,Kitwe,28.21249,-12.81923,738320,0,15,1
chimpatika,Chimpatika Health Post,ZvVE1Wj3ufg,Zambia,Northern,Kaputa,28.29,-15.40999,94574,0,30,3
chindwin_camp,Chindwin Camp Urban Health Centre,o5Hz9Axrf2H,Zambia,Central,Kabwe,28.61537,-14.3364,234055,14,4,
